Subject,SessionNumber,BlockNumber,isRepetition,isNewRepetition,isSwapped,ContextID,ContextBackground,ContextColor,BlockLevelAccuracy,SwappedErrorCorrection,isColorSame,isBackgroundSame,InitialBlockNumber
Bard,2,7,1,0,0,009_047_068_001_4_filtered_168,009_047_068_001_4_filtered,168,0.8,0,NaN,NaN,1
Bard,2,8,1,0,1,010_025_028_001_2_filtered_0,010_025_028_001_2_filtered,0,0.933333333333333,0,NaN,NaN,2
Bard,2,9,1,0,0,009_065_055_001_3_filtered_126,009_065_055_001_3_filtered,126,1,-0.333333333333333,NaN,NaN,3
Bard,2,10,1,0,1,010_005_022_002_2_filtered_168,010_005_022_002_2_filtered,168,0.8,0.166666666666667,NaN,NaN,4
Bard,2,11,1,0,0,009_019_042_001_2_filtered,009_019_042_001_2_filtered,NaN,1,-0.4,NaN,NaN,5
Bard,2,12,1,0,1,010_005_024_001_1_filtered_84,010_005_024_001_1_filtered,84,1,0.333333333333333,NaN,NaN,6
Bard,3,1,0,0,0,009_042_068_001_1_filtered_84,009_042_068_001_1_filtered,84,0.666666666666667,0,1,1,NaN
Bard,3,2,0,0,1,010_018_019_002_3_filtered_42,010_018_019_002_3_filtered,42,0.466666666666667,0,0,0,NaN
Bard,3,3,0,0,0,009_042_068_001_4_filtered_0,009_042_068_001_4_filtered,0,0.266666666666667,0.5,1,1,NaN
Bard,3,4,0,0,1,010_025_022_002_2_filtered_0,010_025_022_002_2_filtered,0,0.333333333333333,0,1,1,NaN
Bard,3,5,0,0,0,009_065_060_002_4_filtered_168,009_065_060_002_4_filtered,168,0.333333333333333,0,1,1,NaN
Bard,3,6,0,0,1,010_018_022_001_1_filtered_84,010_018_022_001_1_filtered,84,0.666666666666667,0,1,1,NaN
Bard,3,7,1,0,0,009_042_068_001_1_filtered_84,009_042_068_001_1_filtered,84,0.8,0,NaN,NaN,1
Bard,3,8,1,0,1,010_028_024_001_2_filtered,010_028_024_001_2_filtered,NaN,0.6,0.6,NaN,NaN,2
Bard,3,9,1,0,0,009_042_068_001_4_filtered_0,009_042_068_001_4_filtered,0,0.666666666666667,0,NaN,NaN,3
Bard,3,10,1,0,1,010_025_022_002_2_filtered_0,010_025_022_002_2_filtered,0,0.533333333333333,NaN,NaN,NaN,4
Bard,3,11,1,0,0,009_065_060_002_4_filtered_168,009_065_060_002_4_filtered,168,0.866666666666667,-0.6,NaN,NaN,5
Bard,3,12,1,0,1,010_018_022_001_1_filtered_84,010_018_022_001_1_filtered,84,0.866666666666667,0,NaN,NaN,6
Bard,4,1,0,0,0,009_022_060_001_3_filtered_126,009_022_060_001_3_filtered,126,0.533333333333333,1,1,1,NaN
Bard,4,2,0,0,1,010_025_019_001_3_filtered_42,010_025_019_001_3_filtered,42,0.533333333333333,0.166666666666667,1,1,NaN
Bard,4,3,0,0,0,009_023_042_001_4_filtered_168,009_023_042_001_4_filtered,168,0.666666666666667,-0.25,1,1,NaN
Bard,4,4,0,0,1,010_005_024_001_4_filtered_42,010_005_024_001_4_filtered,42,0.933333333333333,0.142857142857143,0,0,NaN
Bard,4,5,0,0,0,009_042_042_002_1_filtered_84,009_042_042_002_1_filtered,84,0.6,0,1,1,NaN
Bard,4,6,0,0,1,010_028_024_001_3_filtered_168,010_028_024_001_3_filtered,168,0.733333333333333,-0.5,1,1,NaN
Bard,4,7,1,0,0,009_023_042_001_4_filtered_168,009_023_042_001_4_filtered,168,0.933333333333333,0.4,NaN,NaN,3
Bard,4,8,1,0,1,010_028_024_002_4_filtered,010_028_024_002_4_filtered,NaN,0.8,0.25,NaN,NaN,4
Bard,4,9,1,0,0,009_042_042_002_1_filtered_84,009_042_042_002_1_filtered,84,0.933333333333333,0,NaN,NaN,5
Bard,4,10,1,0,1,010_028_024_001_3_filtered_168,010_028_024_001_3_filtered,168,0.866666666666667,-0.6,NaN,NaN,6
Bard,4,11,1,0,0,009_022_060_001_3_filtered_126,009_022_060_001_3_filtered,126,0.933333333333333,0,NaN,NaN,1
Bard,4,12,1,0,1,010_025_019_001_3_filtered_42,010_025_019_001_3_filtered,42,0.928571428571429,-1,NaN,NaN,2
Bard,5,1,0,0,0,009_065_055_002_3_filtered_168,009_065_055_002_3_filtered,168,0.6,0.2,0,0,NaN
Bard,5,2,0,0,1,010_021_028_001_3_filtered_210,010_021_028_001_3_filtered,210,0.666666666666667,0,1,1,NaN
Bard,5,3,0,0,0,009_065_055_002_2_filtered_0,009_065_055_002_2_filtered,0,0.733333333333333,1,1,1,NaN
Bard,5,4,0,0,1,010_021_019_001_3_filtered_42,010_021_019_001_3_filtered,42,0.733333333333333,NaN,1,1,NaN
Bard,5,5,0,0,0,009_022_068_002_2_filtered_84,009_022_068_002_2_filtered,84,0.6,-0.2,1,1,NaN
Bard,5,6,0,0,1,010_018_024_002_1_filtered_84,010_018_024_002_1_filtered,84,0.733333333333333,NaN,1,1,NaN
Bard,5,7,1,0,0,009_022_055_002_3_filtered,009_022_055_002_3_filtered,NaN,0.866666666666667,0,NaN,NaN,1
Bard,5,8,1,0,1,010_021_028_001_3_filtered_210,010_021_028_001_3_filtered,210,0.733333333333333,0.333333333333333,NaN,NaN,2
Bard,5,9,1,0,0,009_065_055_002_2_filtered_0,009_065_055_002_2_filtered,0,0.933333333333333,0,NaN,NaN,3
Bard,5,10,1,0,1,010_021_019_001_3_filtered_42,010_021_019_001_3_filtered,42,0.866666666666667,-1,NaN,NaN,4
Bard,5,11,1,0,0,009_022_068_002_2_filtered_84,009_022_068_002_2_filtered,84,0.8,-0.5,NaN,NaN,5
Bard,5,12,1,0,1,010_018_024_002_1_filtered_84,010_018_024_002_1_filtered,84,0.733333333333333,-1,NaN,NaN,6
Bard,6,1,0,0,0,009_065_055_002_3_filtered_168,009_065_055_002_3_filtered,168,0.933333333333333,0.166666666666667,0,0,NaN
Bard,6,2,0,0,1,010_021_028_001_3_filtered_210,010_021_028_001_3_filtered,210,0.933333333333333,-0.5,1,1,NaN
Bard,6,3,0,0,0,009_065_055_002_2_filtered_0,009_065_055_002_2_filtered,0,0.866666666666667,-0.333333333333333,1,1,NaN
Bard,6,4,0,0,1,010_021_019_001_3_filtered_42,010_021_019_001_3_filtered,42,1,0.2,1,1,NaN
Bard,6,5,0,0,0,009_022_068_002_2_filtered_84,009_022_068_002_2_filtered,84,0.866666666666667,0.142857142857143,1,1,NaN
Bard,6,6,0,0,1,010_018_024_002_1_filtered_84,010_018_024_002_1_filtered,84,0.866666666666667,0.5,1,1,NaN
Bard,6,7,1,0,0,009_022_055_002_3_filtered,009_022_055_002_3_filtered,NaN,1,-0.4,NaN,NaN,1
Bard,6,8,1,0,1,010_021_028_001_3_filtered_210,010_021_028_001_3_filtered,210,1,1,NaN,NaN,2
Bard,6,9,1,0,0,009_065_055_002_2_filtered_0,009_065_055_002_2_filtered,0,0.866666666666667,-0.666666666666667,NaN,NaN,3
Bard,6,10,1,0,1,010_021_019_001_3_filtered_42,010_021_019_001_3_filtered,42,0.933333333333333,-0.333333333333333,NaN,NaN,4
Bard,6,11,1,0,0,009_022_068_002_2_filtered_84,009_022_068_002_2_filtered,84,1,0,NaN,NaN,5
Bard,6,12,1,0,1,010_018_024_002_1_filtered_84,010_018_024_002_1_filtered,84,1,-0.142857142857143,NaN,NaN,6
Bard,7,1,0,0,0,009_019_068_002_2_filtered_42,009_019_068_002_2_filtered,42,0.6,-1,1,1,NaN
Bard,7,2,0,0,1,010_028_028_002_3_filtered_84,010_028_028_002_3_filtered,84,0.733333333333333,-1,1,1,NaN
Bard,7,3,0,0,0,009_019_068_002_1_filtered_126,009_019_068_002_1_filtered,126,0.8,0,1,1,NaN
Bard,7,4,0,0,1,010_018_028_001_3_filtered_126,010_018_028_001_3_filtered,126,0.733333333333333,-0.25,1,1,NaN
Bard,7,5,0,0,0,009_023_042_002_3_filtered_0,009_023_042_002_3_filtered,0,0.466666666666667,0,NaN,NaN,NaN
Bard,7,6,0,0,1,010_025_028_002_3_filtered_126,010_025_028_002_3_filtered,126,0.266666666666667,-0.25,NaN,NaN,NaN
Bard,7,7,0,0,0,009_047_068_002_1_filtered_0,009_047_068_002_1_filtered,0,0.6,-1,0,0,NaN
Bard,7,8,0,0,1,010_021_019_001_4_filtered_126,010_021_019_001_4_filtered,126,0.933333333333333,0.5,1,1,NaN
Bard,7,9,1,1,0,009_047_060_001_2_filtered,009_047_060_001_2_filtered,NaN,0.866666666666667,-0.333333333333333,NaN,NaN,NaN
Bard,7,10,1,1,1,010_018_019_001_1_filtered,010_018_019_001_1_filtered,NaN,0.6,0,NaN,NaN,NaN
Bard,7,11,1,0,0,009_019_055_001_4_filtered,009_019_055_001_4_filtered,NaN,0.928571428571429,-0.25,NaN,NaN,7
Bard,7,12,1,0,1,010_021_019_001_4_filtered_126,010_021_019_001_4_filtered,126,1,1,NaN,NaN,8
Bard,7,13,1,0,0,009_019_068_002_2_filtered_42,009_019_068_002_2_filtered,42,0.733333333333333,-1,NaN,NaN,1
Bard,7,14,1,0,1,010_028_028_002_3_filtered_84,010_028_028_002_3_filtered,84,0.8,0.25,NaN,NaN,2
Bard,7,15,1,0,0,009_019_068_002_1_filtered_126,009_019_068_002_1_filtered,126,0.933333333333333,-1,NaN,NaN,3
Bard,7,16,1,0,1,010_018_028_001_3_filtered_126,010_018_028_001_3_filtered,126,0.866666666666667,-1,NaN,NaN,4
Bard,8,1,0,0,0,009_023_068_001_3_filtered_84,009_023_068_001_3_filtered,84,0.933333333333333,-0.333333333333333,1,1,NaN
Bard,8,2,0,0,1,010_028_028_002_2_filtered_168,010_028_028_002_2_filtered,168,0.6,0,1,1,NaN
Bard,8,3,0,0,0,009_019_068_001_4_filtered_42,009_019_068_001_4_filtered,42,0.466666666666667,-0.571428571428571,NaN,NaN,NaN
Bard,8,4,0,0,1,010_025_022_002_1_filtered_168,010_025_022_002_1_filtered,168,0.533333333333333,0,NaN,NaN,NaN
Bard,8,5,0,0,0,009_065_068_002_1_filtered_126,009_065_068_002_1_filtered,126,0.466666666666667,0.333333333333333,0,0,NaN
Bard,8,6,0,0,1,010_005_019_001_2_filtered_0,010_005_019_001_2_filtered,0,0.866666666666667,-0.222222222222222,1,1,NaN
Bard,8,7,0,0,0,009_047_060_002_4_filtered_210,009_047_060_002_4_filtered,210,0.933333333333333,0,1,1,NaN
Bard,8,8,0,0,1,010_028_028_002_4_filtered_126,010_028_028_002_4_filtered,126,0.8,0,1,1,NaN
Bard,8,9,1,1,0,009_042_068_001_4_filtered,009_042_068_001_4_filtered,NaN,0.8,0.5,NaN,NaN,NaN
Bard,8,10,1,1,1,010_021_019_001_3_filtered,010_021_019_001_3_filtered,NaN,0.6,0.333333333333333,NaN,NaN,NaN
Bard,8,11,1,0,0,009_023_068_001_3_filtered_84,009_023_068_001_3_filtered,84,0.8,-0.5,NaN,NaN,1
Bard,8,12,1,0,1,010_028_028_002_2_filtered_168,010_028_028_002_2_filtered,168,0.933333333333333,-1,NaN,NaN,2
Bard,8,13,1,0,0,009_065_060_002_4_filtered,009_065_060_002_4_filtered,NaN,1,-0.571428571428571,NaN,NaN,5
Bard,8,14,1,0,1,010_005_019_001_2_filtered_0,010_005_019_001_2_filtered,0,0.8,0,NaN,NaN,6
Bard,8,15,1,0,0,009_047_060_002_4_filtered_210,009_047_060_002_4_filtered,210,1,0,NaN,NaN,7
Bard,8,16,1,0,1,010_028_028_002_4_filtered_126,010_028_028_002_4_filtered,126,1,-1,NaN,NaN,8
Bard,9,1,0,0,0,009_022_042_001_4_filtered_210,009_022_042_001_4_filtered,210,0.533333333333333,0,0,0,NaN
Bard,9,2,0,0,1,010_005_022_002_4_filtered_210,010_005_022_002_4_filtered,210,0.866666666666667,-0.5,1,1,NaN
Bard,9,3,0,0,0,009_022_060_001_4_filtered_210,009_022_060_001_4_filtered,210,0.733333333333333,-1,1,1,NaN
Bard,9,4,0,0,1,010_018_028_002_3_filtered_84,010_018_028_002_3_filtered,84,0.866666666666667,1,1,1,NaN
Bard,9,5,0,0,0,009_047_042_001_2_filtered_42,009_047_042_001_2_filtered,42,0.666666666666667,1,NaN,NaN,NaN
Bard,9,6,0,0,1,010_025_019_002_2_filtered_42,010_025_019_002_2_filtered,42,0.933333333333333,0.8,NaN,NaN,NaN
Bard,9,7,0,0,0,009_023_068_002_4_filtered_0,009_023_068_002_4_filtered,0,0.466666666666667,0,1,1,NaN
Bard,9,8,0,0,1,010_025_019_002_4_filtered_126,010_025_019_002_4_filtered,126,0.533333333333333,-1,1,1,NaN
Bard,9,9,1,0,0,009_022_060_001_4_filtered_210,009_022_060_001_4_filtered,210,0.933333333333333,-0.2,NaN,NaN,3
Bard,9,10,1,0,1,010_018_028_002_3_filtered_84,010_018_028_002_3_filtered,84,1,0.75,NaN,NaN,4
Bard,9,11,1,0,0,009_019_042_001_2_filtered,009_019_042_001_2_filtered,NaN,0.866666666666667,-0.333333333333333,NaN,NaN,1
Bard,9,12,1,0,1,010_005_022_002_4_filtered_210,010_005_022_002_4_filtered,210,0.846153846153846,0.666666666666667,NaN,NaN,2
Bard,9,13,1,1,0,009_042_060_001_3_filtered,009_042_060_001_3_filtered,NaN,0.666666666666667,0.6,NaN,NaN,NaN
Bard,9,14,1,1,1,010_025_022_001_2_filtered,010_025_022_001_2_filtered,NaN,0.266666666666667,-0.666666666666667,NaN,NaN,NaN
Bard,9,15,1,0,0,009_023_068_002_4_filtered_0,009_023_068_002_4_filtered,0,0.666666666666667,-0.5,NaN,NaN,7
Bard,9,16,1,0,1,010_025_019_002_4_filtered_126,010_025_019_002_4_filtered,126,0.928571428571429,0.5,NaN,NaN,8
Bard,10,1,0,0,0,009_042_068_001_1_filtered_42,009_042_068_001_1_filtered,42,0.733333333333333,0,1,1,NaN
Bard,10,2,0,0,1,010_005_022_002_4_filtered_168,010_005_022_002_4_filtered,168,0.8,NaN,1,1,NaN
Bard,10,3,0,0,0,009_019_068_001_4_filtered_42,009_019_068_001_4_filtered,42,0.533333333333333,-1,NaN,NaN,NaN
Bard,10,4,0,0,1,010_018_024_002_2_filtered_168,010_018_024_002_2_filtered,168,0.866666666666667,1,NaN,NaN,NaN
Bard,10,5,0,0,0,009_047_055_002_1_filtered_168,009_047_055_002_1_filtered,168,0.666666666666667,0,1,1,NaN
Bard,10,6,0,0,1,010_028_028_002_3_filtered_126,010_028_028_002_3_filtered,126,0.666666666666667,NaN,1,1,NaN
Bard,10,7,0,0,0,009_047_068_001_1_filtered_0,009_047_068_001_1_filtered,0,0.933333333333333,-0.333333333333333,1,1,NaN
Bard,10,8,0,0,1,010_028_024_001_3_filtered_42,010_028_024_001_3_filtered,42,0.866666666666667,0.5,1,1,NaN
Bard,10,9,1,0,0,009_047_068_001_1_filtered_0,009_047_068_001_1_filtered,0,0.857142857142857,-0.5,NaN,NaN,7
Bard,10,10,1,0,1,010_028_024_001_3_filtered_42,010_028_024_001_3_filtered,42,0.8,0.5,NaN,NaN,8
Bard,10,11,1,0,0,009_042_068_001_1_filtered_42,009_042_068_001_1_filtered,42,0.8,0,NaN,NaN,1
Bard,10,12,1,0,1,010_005_022_002_4_filtered_168,010_005_022_002_4_filtered,168,0.866666666666667,0.5,NaN,NaN,2
Bard,10,13,1,0,0,009_047_055_002_1_filtered_168,009_047_055_002_1_filtered,168,0.6,0.333333333333333,NaN,NaN,5
Bard,10,14,1,0,1,010_028_028_002_3_filtered_126,010_028_028_002_3_filtered,126,0.8,-0.666666666666667,NaN,NaN,6
Bard,10,15,1,1,0,009_047_068_001_2_filtered,009_047_068_001_2_filtered,NaN,0.333333333333333,0,NaN,NaN,NaN
Bard,10,16,1,1,1,010_028_019_001_2_filtered,010_028_019_001_2_filtered,NaN,0.8,-1,NaN,NaN,NaN
Bard,11,1,0,0,0,009_019_060_001_1_filtered_168,009_019_060_001_1_filtered,168,0.4,NaN,NaN,NaN,NaN
Bard,11,2,0,0,1,010_018_028_001_3_filtered_168,010_018_028_001_3_filtered,168,0.533333333333333,-0.4,NaN,NaN,NaN
Bard,11,3,0,0,0,009_042_068_001_1_filtered_126,009_042_068_001_1_filtered,126,0.466666666666667,-0.666666666666667,1,1,NaN
Bard,11,4,0,0,1,010_025_022_001_2_filtered_0,010_025_022_001_2_filtered,0,0.8,0,1,1,NaN
Bard,11,5,0,0,0,009_019_068_002_4_filtered_84,009_019_068_002_4_filtered,84,0.8,NaN,1,1,NaN
Bard,11,6,0,0,1,010_005_022_001_2_filtered_42,010_005_022_001_2_filtered,42,1,-1,1,1,NaN
Bard,11,7,0,0,0,009_065_042_002_2_filtered_168,009_065_042_002_2_filtered,168,0.866666666666667,0.6,1,1,NaN
Bard,11,8,0,0,1,010_018_022_001_3_filtered_168,010_018_022_001_3_filtered,168,0.733333333333333,1,0,0,NaN
Bard,11,9,1,0,0,009_019_068_002_4_filtered_84,009_019_068_002_4_filtered,84,0.928571428571429,0.333333333333333,NaN,NaN,5
Bard,11,10,1,0,1,010_005_022_001_2_filtered_42,010_005_022_001_2_filtered,42,1,0.333333333333333,NaN,NaN,6
Bard,11,11,1,0,0,009_042_068_001_1_filtered_126,009_042_068_001_1_filtered,126,0.8,-0.833333333333333,NaN,NaN,3
Bard,11,12,1,0,1,010_025_022_001_2_filtered_0,010_025_022_001_2_filtered,0,0.8,0,NaN,NaN,4
Bard,11,13,1,0,0,009_065_042_002_2_filtered_168,009_065_042_002_2_filtered,168,0.866666666666667,-0.333333333333333,NaN,NaN,7
Bard,11,14,1,0,1,010_028_028_002_1_filtered,010_028_028_002_1_filtered,NaN,1,0.333333333333333,NaN,NaN,8
Bard,11,15,1,1,0,009_042_042_002_4_filtered,009_042_042_002_4_filtered,NaN,0.933333333333333,-0.2,NaN,NaN,NaN
Bard,11,16,1,1,1,010_018_019_001_1_filtered,010_018_019_001_1_filtered,NaN,0.666666666666667,0,NaN,NaN,NaN
Bard,12,1,0,0,0,009_022_055_002_1_filtered_0,009_022_055_002_1_filtered,0,0.666666666666667,-0.333333333333333,1,1,NaN
Bard,12,2,0,0,1,010_018_019_001_1_filtered_210,010_018_019_001_1_filtered,210,0.533333333333333,-0.5,1,1,NaN
Bard,12,3,0,0,0,009_042_042_002_2_filtered_84,009_042_042_002_2_filtered,84,0.4,0.666666666666667,1,1,NaN
Bard,12,4,0,0,1,010_018_019_001_3_filtered_210,010_018_019_001_3_filtered,210,0.846153846153846,NaN,1,1,NaN
Bard,12,5,0,0,0,009_065_060_001_3_filtered_126,009_065_060_001_3_filtered,126,0.533333333333333,NaN,NaN,NaN,NaN
Bard,12,6,0,0,1,010_018_019_001_2_filtered_210,010_018_019_001_2_filtered,210,0.866666666666667,0,NaN,NaN,NaN
Bard,12,7,0,0,0,009_022_060_002_1_filtered_84,009_022_060_002_1_filtered,84,0.733333333333333,NaN,1,1,NaN
Bard,12,8,0,0,1,010_028_019_002_4_filtered_84,010_028_019_002_4_filtered,84,0.857142857142857,NaN,0,0,NaN
Bard,12,9,1,0,0,009_022_060_002_1_filtered_84,009_022_060_002_1_filtered,84,0.928571428571429,0.333333333333333,NaN,NaN,7
Bard,12,10,1,0,1,010_018_024_002_2_filtered,010_018_024_002_2_filtered,NaN,1,1,NaN,NaN,8
Bard,12,11,1,0,0,009_042_042_002_2_filtered_84,009_042_042_002_2_filtered,84,0.333333333333333,0,NaN,NaN,3
Bard,12,12,1,0,1,010_018_019_001_3_filtered_210,010_018_019_001_3_filtered,210,1,0.333333333333333,NaN,NaN,4
Bard,12,13,1,0,0,009_022_055_002_1_filtered_0,009_022_055_002_1_filtered,0,1,-1,NaN,NaN,1
Bard,12,14,1,0,1,010_018_019_001_1_filtered_210,010_018_019_001_1_filtered,210,0.866666666666667,0,NaN,NaN,2
Bard,12,15,1,1,0,009_022_068_002_1_filtered,009_022_068_002_1_filtered,NaN,0.466666666666667,0,NaN,NaN,NaN
Bard,12,16,1,1,1,010_028_019_002_4_filtered,010_028_019_002_4_filtered,NaN,0.866666666666667,-1,NaN,NaN,NaN
Bard,13,1,0,0,0,009_042_042_002_2_filtered_42,009_042_042_002_2_filtered,42,0.785714285714286,0,1,1,NaN
Bard,13,2,0,0,1,010_018_022_002_4_filtered_0,010_018_022_002_4_filtered,0,0.866666666666667,0,0,0,NaN
Bard,13,3,0,0,0,009_019_068_002_4_filtered_0,009_019_068_002_4_filtered,0,0.666666666666667,0,NaN,NaN,NaN
Bard,13,4,0,0,1,010_018_019_001_1_filtered_42,010_018_019_001_1_filtered,42,0.8,0,NaN,NaN,NaN
Bard,13,5,0,0,0,009_042_068_001_3_filtered_168,009_042_068_001_3_filtered,168,0.6,NaN,1,1,NaN
Bard,13,6,0,0,1,010_018_019_001_2_filtered_0,010_018_019_001_2_filtered,0,0.833333333333333,1,1,1,NaN
Bard,13,7,0,0,0,009_022_068_001_1_filtered_0,009_022_068_001_1_filtered,0,1,-0.666666666666667,1,1,NaN
Bard,13,8,0,0,1,010_028_028_002_2_filtered_126,010_028_028_002_2_filtered,126,0.923076923076923,-0.333333333333333,1,1,NaN
Bard,13,9,1,0,0,009_042_042_002_2_filtered_42,009_042_042_002_2_filtered,42,0.923076923076923,-0.8,NaN,NaN,1
Bard,13,10,1,0,1,010_028_028_002_3_filtered,010_028_028_002_3_filtered,NaN,1,0.2,NaN,NaN,2
Bard,13,11,1,0,0,009_042_068_001_3_filtered_168,009_042_068_001_3_filtered,168,0.923076923076923,-0.428571428571429,NaN,NaN,5
Bard,13,12,1,0,1,010_018_019_001_2_filtered_0,010_018_019_001_2_filtered,0,0.769230769230769,-0.5,NaN,NaN,6
Bard,13,13,1,1,0,009_042_042_001_3_filtered,009_042_042_001_3_filtered,NaN,0.8,0.25,NaN,NaN,NaN
Bard,13,14,1,1,1,010_028_028_002_1_filtered,010_028_028_002_1_filtered,NaN,0.923076923076923,1,NaN,NaN,NaN
Bard,13,15,1,0,0,009_022_068_001_1_filtered_0,009_022_068_001_1_filtered,0,1,-0.333333333333333,NaN,NaN,7
Bard,13,16,1,0,1,010_028_028_002_2_filtered_126,010_028_028_002_2_filtered,126,1,1,NaN,NaN,8
Jotun,1,1,0,0,0,009_047_055_001_2_filtered_42,009_047_055_001_2_filtered,42,0.2,NaN,1,1,NaN
Jotun,1,2,0,0,1,010_025_022_001_2_filtered_0,010_025_022_001_2_filtered,0,0.466666666666667,0,1,1,NaN
Jotun,1,3,0,0,0,009_065_060_002_2_filtered_168,009_065_060_002_2_filtered,168,0.4,NaN,NaN,NaN,NaN
Jotun,1,4,0,0,1,010_021_028_001_1_filtered_168,010_021_028_001_1_filtered,168,0.6,0.5,NaN,NaN,NaN
Jotun,1,5,0,0,0,009_047_042_002_1_filtered_42,009_047_042_002_1_filtered,42,0.866666666666667,NaN,0,0,NaN
Jotun,1,6,0,0,1,010_028_028_001_3_filtered_210,010_028_028_001_3_filtered,210,0.666666666666667,0,1,1,NaN
Jotun,1,7,0,0,0,009_019_055_001_4_filtered_0,009_019_055_001_4_filtered,0,0.4,NaN,1,0,NaN
Jotun,1,8,0,0,1,010_018_019_002_2_filtered_210,010_018_019_002_2_filtered,210,0.533333333333333,0,1,1,NaN
Jotun,1,9,0,0,0,009_022_068_002_3_filtered_84,009_022_068_002_3_filtered,84,0.8,NaN,1,1,NaN
Jotun,1,10,0,0,1,010_005_028_002_3_filtered_168,010_005_028_002_3_filtered,168,0.666666666666667,0,1,1,NaN
Jotun,1,11,0,0,0,009_022_068_001_2_filtered_84,009_022_068_001_2_filtered,84,0.866666666666667,NaN,1,1,NaN
Jotun,1,12,0,0,1,010_018_022_002_1_filtered_210,010_018_022_002_1_filtered,210,0.866666666666667,0.5,1,1,NaN
Jotun,1,13,1,0,0,009_047_055_001_2_filtered_42,009_047_055_001_2_filtered,42,0.933333333333333,NaN,NaN,NaN,1
Jotun,1,14,1,0,1,010_025_022_001_2_filtered_0,010_025_022_001_2_filtered,0,0.933333333333333,-0.6,NaN,NaN,2
Jotun,1,15,1,0,0,009_022_068_001_2_filtered_84,009_022_068_001_2_filtered,84,0.866666666666667,NaN,NaN,NaN,11
Jotun,1,16,1,0,1,010_018_022_002_1_filtered_210,010_018_022_002_1_filtered,210,1,-0.25,NaN,NaN,12
Jotun,1,17,1,0,0,009_022_068_002_3_filtered_84,009_022_068_002_3_filtered,84,1,NaN,NaN,NaN,9
Jotun,1,18,1,0,1,010_005_028_002_3_filtered_168,010_005_028_002_3_filtered,168,0.857142857142857,0,NaN,NaN,10
Jotun,1,19,1,0,0,009_022_068_001_1_filtered_0,009_022_068_001_1_filtered,0,0.733333333333333,NaN,NaN,NaN,5
Jotun,1,20,1,0,1,010_028_028_001_3_filtered_210,010_028_028_001_3_filtered,210,0.733333333333333,-0.25,NaN,NaN,6
Jotun,1,21,1,0,0,009_065_060_002_2_filtered_0,009_065_060_002_2_filtered,0,0.666666666666667,NaN,NaN,NaN,7
Jotun,1,22,1,0,1,010_018_019_002_2_filtered_210,010_018_019_002_2_filtered,210,0.533333333333333,0.333333333333333,NaN,NaN,8
Jotun,1,23,1,1,0,009_065_060_002_1_filtered_126,009_065_060_002_1_filtered,126,0.533333333333333,NaN,NaN,NaN,NaN
Jotun,1,24,1,1,1,010_018_028_001_1_filtered_210,010_018_028_001_1_filtered,210,0.733333333333333,0.2,NaN,NaN,NaN
Jotun,2,1,0,0,0,009_047_060_001_2_filtered_168,009_047_060_001_2_filtered,168,0.866666666666667,NaN,0,0,NaN
Jotun,2,2,0,0,1,010_028_019_001_3_filtered_84,010_028_019_001_3_filtered,84,0.4,1,1,1,NaN
